index,cost,sim_edges_bestLO,sim_nodes_bestLO,sim_edges_ILS,sim_nodes_ILS,avg_sim_edges_all,avg_sim_nodes_all
428,73756.0,53,92,51,93,44.429429429429426,87.95395395395396
429,73771.0,51,90,51,91,46.028028028028025,89.1981981981982
430,75311.0,45,88,44,88,42.54354354354354,87.27627627627628
431,74300.0,45,89,56,90,44.44044044044044,87.77577577577577
432,74938.0,48,86,39,84,42.231231231231234,85.96596596596596
433,74583.0,45,88,45,86,42.78278278278278,85.65765765765765
434,74162.0,44,89,52,86,44.81881881881882,87.3963963963964
435,73850.0,50,89,47,90,42.77677677677678,85.8018018018018
436,71755.0,52,91,56,92,48.510510510510514,88.22622622622623
437,73662.0,51,91,59,91,47.56056056056056,89.11611611611612
438,73007.0,48,91,48,88,44.8028028028028,87.49449449449449
439,72423.0,49,93,61,93,44.4944944944945,88.23523523523524
